Artist,Title,Year,URL
BAP,Verdamp lang her,1981,https://youtu.be/TB751ZCh_zU
BB Jürgen,Heute fahrt die 18 bis nach Istanbul,2005,https://www.youtube.com/watch?v=u2jQSbwkasI
BeerBitches,Helau,2016,https://youtu.be/8TbzJ5cyVY8
BeerBitches,Minge Mann,2018,https://youtu.be/lnO-KW-Xazg
BeerBitches,Schwing ming Foot,2018,https://youtu.be/nhLwoktKqoQ?t=4
Bläck Fööss,Am Bickendorfer Büdche,2006,https://youtu.be/oNV0rHTO4mI
Bläck Fööss,Du bes die Stadt,2002,https://www.youtube.com/watch?v=k7BRM-LzXE4&t=7s
Bläck Fööss,Frankreich Frankreich,1985,https://www.youtube.com/watch?v=m-AF_5rXd4s
Bläck Fööss,Mer losse d'r Dom in Kölle,1973,https://youtu.be/LYGQi1CjH20
Bläck Fööss,Unser Stammbaum,2000,https://youtu.be/vE6wMwu_W9A
Brings,Kölsche Jung,2014,https://www.youtube.com/watch?v=DcNPqsWPbD8
Brings,"Polka, Polka, Polka",2014,https://youtu.be/E0l8rCYazBI
Buddy,Ab in den Süden,2003,https://www.youtube.com/watch?v=q5WdWSpz1vQ
Cassandra Steen ft. Adel Tawil,Stadt,2009,https://www.youtube.com/watch?v=ltQNeihjqB0
Culcha Candela,Hamma!,2007,https://www.youtube.com/watch?v=lhZfb8b3DR8
Das Lumpenpack,Pädagogen,2019,https://youtu.be/v2beDpArGrE
Die Ärzte,Junge,2007,https://www.youtube.com/watch?v=HpOt9DQh8AA
Die Atzen,Das geht ab,2009,https://youtu.be/dkc14WdXFNI
Die Atzen,Disco Pogo,2010,https://youtu.be/FWsQQgbKkjc
Die Prinzen,Alles nur geklaut,1993,https://www.youtube.com/watch?v=yMR45cZbvDw
Die Toten Hosen,Tage wie diese,2012,https://youtu.be/5vgrZcppZLs
DJ Ötzi,Sweet Caroline,2009,https://youtu.be/dFq2v5MC4YA
Dr. Alban,Sing Hallelujah,1992,https://www.youtube.com/watch?v=pKxJca7LLNM
Domstürmer,"Meine Liebe, meine Stadt, mein Verein",2008,https://youtu.be/ddYClLIEbdU
Frank Zander,Hier kommt Kurt,1989,https://www.youtube.com/watch?v=S_IOTG7g6Mw
Geier Sturzflug,Bruttosozialprodukt,1982,https://www.youtube.com/watch?v=Zm8dk7SfV1E
Geier Sturzflug,Pure Lust am Leben,1984,https://youtu.be/Xra3uzTPaqA
Herbert Grönemeyer,"Zeit, dass sich was dreht",2006,https://www.youtube.com/watch?v=s7Ja9S8W-QQ
Höhner,E Levve Lang,2014,https://youtu.be/w88y36gNOgQ
Höhner,"Mer stonn zo dir, FC Kölle",1998,https://youtu.be/ha4GInQjCCU
Höhner,"Viva Colonia (Da simmer dabei, dat is prima!)",2003,https://www.youtube.com/watch?v=DD9oG1kIC2I
Ingo ohne Flamingo,"Saufen morgens, mittags, abends",2017,https://www.youtube.com/watch?v=PP9I6WRD4VI
Josh.,Cordula Grün,2018,https://www.youtube.com/watch?v=uSbxCX2LVps
Julian Sommer,Dicht im Flieger,2022,https://www.youtube.com/watch?v=hzqcMvDON1g
Jürgen von der Lippe,"Guten Morgen, liebe Sorgen",1987,https://www.youtube.com/watch?v=AocdApEwnhk
Kasalla,Pirate,2012,https://youtu.be/kkiUUyIvZOo
Kasalla,Stadt met K,2015,https://youtu.be/LrudFMBPCIs
Kaoma,Lambada,1989,https://www.youtube.com/watch?v=ooxAZfr-woI
Klaus & Klaus,An Der Nordseeküste,1985,https://www.youtube.com/watch?v=U15ZCSkkU9A
Klaus & Klaus,Der Eiermann,1988,https://www.youtube.com/watch?v=u58UVnV7RF4
Las Ketchup,The Ketchup Song (Aserejé),2002,https://www.youtube.com/watch?v=V0PisGe66mY
